Date, Time, Type, ID0, ID1, ID2, Sensor Data, Temperature, Humidity, Raw Data,RSSI,dBm,Separation
13/3/20, 15:29:01, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100018674B8,184,-24.784,3
13/3/20, 15:29:02, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8775,33.5,59, 0201041AFF4C0002150005000100001000800000805F9B013100028775C1,193,-20.518,3
13/3/20, 15:29:02, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x8973,32.1,60, 0201041AFF4C0002150005000100001000800000805F9B013100048973BE,190,-21.94,3
13/3/20, 15:29:02, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8673,32.1,59, 0201041AFF4C0002150005000100001000800000805F9B013100058673BE,190,-21.94,3
13/3/20, 15:29:03, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8C74,32.8,62, 0201041AFF4C0002150005000100001000800000805F9B013100068C74BD,189,-22.414,3
13/3/20, 15:29:03, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100018674B8,184,-24.784,3
13/3/20, 15:29:04, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8775,33.5,59, 0201041AFF4C0002150005000100001000800000805F9B013100038775BB,187,-23.362,3
13/3/20, 15:29:05, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8673,32.1,59, 0201041AFF4C0002150005000100001000800000805F9B013100058673B3,179,-27.154,3
13/3/20, 15:29:05, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100018674B6,182,-25.732,3
13/3/20, 15:29:05, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8775,33.5,59, 0201041AFF4C0002150005000100001000800000805F9B013100028775BD,189,-22.414,3
13/3/20, 15:29:05, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x8973,32.1,60, 0201041AFF4C0002150005000100001000800000805F9B013100048973BB,187,-23.362,3
13/3/20, 15:29:06, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8C74,32.8,62, 0201041AFF4C0002150005000100001000800000805F9B013100068C74B1,177,-28.102,3
13/3/20, 15:29:07, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8675,33.5,59, 0201041AFF4C0002150005000100001000800000805F9B013100038675BD,189,-22.414,3
13/3/20, 15:29:07, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100018674B5,181,-26.206,3
13/3/20, 15:29:08, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8673,32.1,59, 0201041AFF4C0002150005000100001000800000805F9B013100058673B4,180,-26.68,3
13/3/20, 15:29:08, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8775,33.5,59, 0201041AFF4C0002150005000100001000800000805F9B013100028775BE,190,-21.94,3
13/3/20, 15:29:09, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x8973,32.1,60, 0201041AFF4C0002150005000100001000800000805F9B013100048973BD,189,-22.414,3
13/3/20, 15:29:09, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100018674B4,180,-26.68,3
13/3/20, 15:29:09, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8C74,32.8,62, 0201041AFF4C0002150005000100001000800000805F9B013100068C74B1,177,-28.102,3
13/3/20, 15:29:10, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8675,33.5,59, 0201041AFF4C0002150005000100001000800000805F9B013100038675B5,181,-26.206,3
13/3/20, 15:29:11, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8673,32.1,59, 0201041AFF4C0002150005000100001000800000805F9B013100058673B1,177,-28.102,3
