Time,ID2,RSSI,Location
 15:14:49, 0x0001,192,"1,1"
 15:14:49, 0x0003,177,"1,1"
 15:14:49, 0x0004,179,"1,1"
 15:14:50, 0x0002,189,"1,1"
 15:14:51, 0x0008,177,"1,1"
 15:14:51, 0x0005,177,"1,1"
 15:14:51, 0x0001,193,"1,1"
 15:14:51, 0x000B,177,"1,1"
 15:14:51, 0x0009,177,"1,1"
 15:14:51, 0x0003,180,"1,1"
 15:14:52, 0x0002,182,"1,1"
 15:14:53, 0x0008,177,"1,1"
 15:14:53, 0x0001,191,"1,1"
 15:14:53, 0x0003,185,"1,1"
 15:14:53, 0x000C,177,"1,1"
 15:14:53, 0x0005,177,"1,1"
 15:14:54, 0x0004,184,"1,1"
 15:14:54, 0x0002,191,"1,1"
 15:14:54, 0x000A,177,"1,1"
 15:14:54, 0x0006,177,"1,1"
 15:14:55, 0x0007,177,"1,1"
 15:14:55, 0x0008,177,"1,1"
 15:14:55, 0x0001,195,"1,1"
 15:14:55, 0x000B,177,"1,1"
 15:14:55, 0x0003,184,"1,1"
 15:14:55, 0x000C,177,"1,1"
 15:14:56, 0x0004,182,"1,1"
 15:14:56, 0x0002,192,"1,1"
 15:14:56, 0x0005,177,"1,1"
 15:14:56, 0x0006,177,"1,1"
 15:14:57, 0x0007,177,"1,1"
 15:14:57, 0x0001,194,"1,1"
 15:14:57, 0x0008,178,"1,1"
 15:14:57, 0x0003,184,"1,1"
 15:14:58, 0x000C,177,"1,1"
 15:14:58, 0x0002,193,"1,1"
 15:14:58, 0x0004,187,"1,1"
 15:14:59, 0x0007,177,"1,1"
 15:14:59, 0x0001,194,"1,1"
 15:14:59, 0x000B,177,"1,1"
 15:14:59, 0x0008,179,"1,1"
 15:14:59, 0x0005,177,"1,1"
 15:14:59, 0x0003,185,"1,1"
 15:14:59, 0x0009,177,"1,1"
 15:15:00, 0x000A,177,"1,1"
 15:15:00, 0x000C,177,"1,1"
 15:15:00, 0x0002,190,"1,1"
 15:15:00, 0x0004,183,"1,1"
 15:15:00, 0x0007,177,"1,1"
 15:15:01, 0x0001,194,"1,1"
 15:15:01, 0x0008,177,"1,1"
 15:15:01, 0x0003,188,"1,1"
 15:15:02, 0x0009,177,"1,1"
 15:15:02, 0x000A,177,"1,1"
 15:15:02, 0x0005,178,"1,1"
 15:15:02, 0x0002,191,"1,1"
 15:15:02, 0x0004,183,"1,1"
 15:15:02, 0x0007,177,"1,1"
 15:15:03, 0x0001,193,"1,1"
 15:15:03, 0x0008,177,"1,1"
 15:15:03, 0x000A,177,"1,1"
 15:15:03, 0x0003,185,"1,1"
 15:15:04, 0x0009,177,"1,1"
 15:15:04, 0x0002,192,"1,1"
 15:15:04, 0x0004,184,"1,1"
 15:15:04, 0x0007,177,"1,1"
 15:15:05, 0x0005,178,"1,1"
 15:15:05, 0x000B,177,"1,1"
 15:15:05, 0x0001,194,"1,1"
 15:15:05, 0x0008,177,"1,1"
 15:15:05, 0x000A,177,"1,1"
 15:15:06, 0x0003,180,"1,1"
 15:15:06, 0x0009,177,"1,1"
 15:15:07, 0x0004,181,"1,1"
 15:15:07, 0x000B,177,"1,1"
 15:15:07, 0x0001,191,"1,1"
 15:15:08, 0x0003,181,"1,1"
 15:15:08, 0x0009,177,"1,1"
 15:15:08, 0x0002,185,"1,1"
 15:15:08, 0x0007,177,"1,1"
 15:15:09, 0x0004,181,"1,1"
 15:15:09, 0x0001,191,"1,1"
 15:15:10, 0x0003,182,"1,1"
 15:15:10, 0x0009,177,"1,1"
 15:15:10, 0x0005,177,"1,1"
 15:15:10, 0x0007,177,"1,1"
 15:15:10, 0x0002,184,"1,1"
 15:15:11, 0x0001,191,"1,1"
 15:15:11, 0x0004,182,"1,1"
 15:15:12, 0x0003,185,"1,1"
 15:15:12, 0x0007,179,"1,1"
 15:15:13, 0x0002,193,"1,1"
 15:15:13, 0x000C,177,"1,1"
 15:15:13, 0x000B,177,"1,1"
 15:15:13, 0x0001,195,"1,1"
 15:15:13, 0x0005,177,"1,1"
 15:15:13, 0x0004,184,"1,1"
 15:15:13, 0x0006,177,"1,1"
 15:15:13, 0x0008,179,"1,1"
 15:15:14, 0x0003,185,"1,1"
 15:15:14, 0x0009,177,"1,1"
 15:15:14, 0x0007,177,"1,1"
 15:15:15, 0x0002,193,"1,1"
 15:15:15, 0x0001,195,"1,1"
 15:15:15, 0x000C,177,"1,1"
 15:15:15, 0x0004,184,"1,1"
 15:15:15, 0x0006,177,"1,1"
 15:15:16, 0x0008,179,"1,1"
 15:15:16, 0x0003,185,"1,1"
 15:15:16, 0x0009,177,"1,1"
 15:15:16, 0x0007,177,"1,1"
 15:15:17, 0x0002,193,"1,1"
 15:15:17, 0x000B,177,"1,1"
 15:15:17, 0x0001,195,"1,1"
 15:15:17, 0x000C,177,"1,1"
 15:15:17, 0x0004,185,"1,1"
 15:15:18, 0x0006,177,"1,1"
 15:15:18, 0x0008,179,"1,1"
 15:15:18, 0x0003,184,"1,1"
 15:15:18, 0x000A,177,"1,1"
 15:15:18, 0x0009,177,"1,1"
 15:15:18, 0x0007,177,"1,1"
 15:15:19, 0x0005,179,"1,1"
 15:15:19, 0x0002,191,"1,1"
 15:15:19, 0x0001,194,"1,1"
 15:15:20, 0x0004,184,"1,1"
 15:15:20, 0x0008,177,"1,1"
 15:15:20, 0x0003,184,"1,1"
 15:15:20, 0x0009,177,"1,1"
 15:15:20, 0x0007,177,"1,1"
 15:15:21, 0x000B,177,"1,1"
 15:15:21, 0x0002,191,"1,1"
 15:15:21, 0x0001,194,"1,1"
 15:15:21, 0x000C,177,"1,1"
 15:15:21, 0x0005,180,"1,1"
 15:15:22, 0x0004,184,"1,1"
 15:15:22, 0x0008,177,"1,1"
 15:15:22, 0x0003,184,"1,1"
 15:15:22, 0x0009,177,"1,1"
 15:15:22, 0x0007,177,"1,1"
 15:15:23, 0x0001,194,"1,1"
 15:15:23, 0x0002,191,"1,1"
 15:15:23, 0x000C,177,"1,1"
 15:15:24, 0x000A,177,"1,1"
 15:15:24, 0x0008,177,"1,1"
 15:15:24, 0x0003,184,"1,1"
 15:15:24, 0x0004,184,"1,1"
 15:15:24, 0x0005,177,"1,1"
 15:15:24, 0x0007,177,"1,1"
 15:15:24, 0x0009,177,"1,1"
 15:15:25, 0x0001,192,"1,1"
 15:15:25, 0x0002,185,"1,1"
 15:15:26, 0x0003,182,"1,1"
 15:15:26, 0x0004,180,"1,1"
 15:15:26, 0x0007,177,"1,1"
 15:15:26, 0x0009,177,"1,1"
 15:15:27, 0x0001,192,"1,1"
 15:15:27, 0x0005,177,"1,1"
 15:15:27, 0x0002,185,"1,1"
 15:15:28, 0x0003,182,"1,1"
 15:15:28, 0x0004,182,"1,1"
 15:15:28, 0x0007,177,"1,1"
 15:15:28, 0x0009,177,"1,1"
 15:15:29, 0x0001,192,"1,1"
 15:15:29, 0x0002,184,"1,1"
 15:15:30, 0x0003,182,"1,1"
 15:15:30, 0x0007,177,"1,1"
 15:15:30, 0x0004,185,"1,1"
 15:15:31, 0x0009,177,"1,1"
 15:15:31, 0x000B,177,"1,1"
 15:15:31, 0x0001,195,"1,1"
 15:15:31, 0x0002,193,"1,1"
 15:15:32, 0x0003,185,"1,1"
 15:15:32, 0x000C,177,"1,1"
 15:15:32, 0x0008,179,"1,1"
 15:15:32, 0x0007,178,"1,1"
 15:15:32, 0x0006,177,"1,1"
 15:15:33, 0x0004,184,"1,1"
 15:15:33, 0x0009,177,"1,1"
 15:15:33, 0x0005,177,"1,1"
 15:15:33, 0x000B,177,"1,1"
 15:15:33, 0x0001,194,"1,1"
 15:15:33, 0x0002,193,"1,1"
 15:15:34, 0x0003,185,"1,1"
 15:15:34, 0x000C,177,"1,1"
 15:15:34, 0x0007,178,"1,1"
 15:15:34, 0x0008,179,"1,1"
 15:15:34, 0x0006,177,"1,1"
 15:15:35, 0x000B,177,"1,1"
 15:15:35, 0x0009,177,"1,1"
 15:15:35, 0x0004,184,"1,1"
 15:15:35, 0x0001,194,"1,1"
 15:15:35, 0x0005,177,"1,1"
 15:15:36, 0x0002,193,"1,1"
 15:15:36, 0x0003,185,"1,1"
 15:15:36, 0x0007,179,"1,1"
 15:15:36, 0x0008,179,"1,1"
 15:15:36, 0x000C,177,"1,1"
 15:15:37, 0x000B,177,"1,1"
 15:15:37, 0x0009,177,"1,1"
 15:15:37, 0x0004,184,"1,1"
 15:15:37, 0x0001,193,"1,1"
 15:15:38, 0x0002,191,"1,1"
 15:15:38, 0x0003,184,"1,1"
 15:15:38, 0x000A,177,"1,1"
 15:15:38, 0x0007,177,"1,1"
 15:15:38, 0x0005,179,"1,1"
 15:15:38, 0x0008,177,"1,1"
 15:15:39, 0x000C,177,"1,1"
 15:15:39, 0x0009,177,"1,1"
 15:15:39, 0x0001,194,"1,1"
 15:15:39, 0x0004,183,"1,1"
 15:15:40, 0x0002,191,"1,1"
 15:15:40, 0x000A,177,"1,1"
 15:15:40, 0x0007,177,"1,1"
 15:15:40, 0x0003,184,"1,1"
 15:15:41, 0x0008,177,"1,1"
 15:15:41, 0x000B,177,"1,1"
 15:15:41, 0x000C,177,"1,1"
 15:15:41, 0x0009,177,"1,1"
 15:15:41, 0x0001,193,"1,1"
 15:15:41, 0x0005,179,"1,1"
 15:15:41, 0x0004,183,"1,1"
 15:15:42, 0x0002,192,"1,1"
 15:15:42, 0x000A,177,"1,1"
 15:15:42, 0x0003,184,"1,1"
 15:15:43, 0x0008,177,"1,1"
 15:15:43, 0x000B,177,"1,1"
 15:15:43, 0x0009,177,"1,1"
 15:15:43, 0x0001,191,"1,1"
 15:15:43, 0x0004,182,"1,1"
 15:15:44, 0x0002,185,"1,1"
 15:15:44, 0x0005,177,"1,1"
 15:15:44, 0x0007,177,"1,1"
 15:15:44, 0x0003,182,"1,1"
 15:15:45, 0x0001,192,"1,1"
 15:15:45, 0x0009,177,"1,1"
 15:15:46, 0x0004,182,"1,1"
 15:15:46, 0x0002,185,"1,1"
 15:15:46, 0x0007,177,"1,1"
 15:15:46, 0x0003,181,"1,1"
 15:15:47, 0x0005,177,"1,1"
 15:15:47, 0x0001,192,"1,1"
 15:15:47, 0x0009,177,"1,1"
 15:15:48, 0x0004,181,"1,1"
 15:15:48, 0x0002,184,"1,1"
 15:15:48, 0x0007,177,"1,1"
 15:15:48, 0x0003,181,"1,1"
 15:15:49, 0x0001,195,"1,1"
 15:15:49, 0x0006,177,"1,1"
 15:15:49, 0x0009,177,"1,1"
 15:15:49, 0x000C,177,"1,1"
 15:15:49, 0x0005,177,"1,1"
 15:15:50, 0x0004,184,"1,1"
 15:15:50, 0x0002,193,"1,1"
 15:15:50, 0x0003,185,"1,1"
 15:15:51, 0x000B,177,"1,1"
 15:15:51, 0x0008,180,"1,1"
 15:15:51, 0x0001,195,"1,1"
 15:15:51, 0x0006,177,"1,1"
 15:15:52, 0x0007,178,"1,1"
 15:15:52, 0x0004,185,"1,1"
 15:15:52, 0x0002,193,"1,1"
 15:15:52, 0x0005,177,"1,1"
 15:15:52, 0x0003,185,"1,1"
 15:15:53, 0x000B,177,"1,1"
 15:15:53, 0x0008,180,"1,1"
 15:15:53, 0x0001,195,"1,1"
 15:15:53, 0x0006,177,"1,1"
 15:15:54, 0x000C,177,"1,1"
 15:15:54, 0x0007,179,"1,1"
 15:15:54, 0x0004,185,"1,1"
 15:15:54, 0x0002,192,"1,1"
 15:15:54, 0x0003,185,"1,1"
 15:15:55, 0x0005,177,"1,1"
 15:15:55, 0x0001,194,"1,1"
 15:15:55, 0x0008,179,"1,1"
 15:15:55, 0x0009,177,"1,1"
 15:15:56, 0x000C,177,"1,1"
 15:15:56, 0x0007,177,"1,1"
 15:15:56, 0x0002,191,"1,1"
 15:15:56, 0x0004,182,"1,1"
 15:15:57, 0x000A,177,"1,1"
 15:15:57, 0x0003,185,"1,1"
 15:15:57, 0x000B,177,"1,1"
 15:15:57, 0x0001,194,"1,1"
 15:15:57, 0x0008,177,"1,1"
 15:15:58, 0x0009,177,"1,1"
 15:15:58, 0x000C,177,"1,1"
 15:15:58, 0x0005,179,"1,1"
 15:15:58, 0x0007,177,"1,1"
 15:15:58, 0x000A,177,"1,1"
 15:15:58, 0x0002,192,"1,1"
 15:15:59, 0x0003,185,"1,1"
 15:15:59, 0x0004,184,"1,1"
 15:15:59, 0x0001,194,"1,1"
 15:15:59, 0x0008,177,"1,1"
 15:16:00, 0x0009,177,"1,1"
 15:16:00, 0x000C,177,"1,1"
 15:16:00, 0x0007,177,"1,1"
 15:16:01, 0x0002,191,"1,1"
 15:16:01, 0x0003,184,"1,1"
 15:16:01, 0x0005,178,"1,1"
 15:16:01, 0x0004,184,"1,1"
 15:16:01, 0x0001,194,"1,1"
 15:16:01, 0x0008,177,"1,1"
 15:16:02, 0x0009,177,"1,1"
 15:16:02, 0x0007,177,"1,1"
 15:16:03, 0x0002,185,"1,1"
 15:16:03, 0x0003,183,"1,1"
 15:16:03, 0x0004,181,"1,1"
 15:16:03, 0x0001,192,"1,1"
 15:16:04, 0x0009,177,"1,1"
 15:16:04, 0x0007,177,"1,1"
 15:16:05, 0x0003,182,"1,1"
 15:16:05, 0x0002,184,"1,1"
 15:16:05, 0x0004,181,"1,1"
 15:16:05, 0x0001,191,"1,1"
 15:16:06, 0x0009,177,"1,1"
 15:16:07, 0x0003,182,"1,1"
 15:16:07, 0x0002,184,"1,1"
 15:16:07, 0x0001,191,"1,1"
 15:16:07, 0x0004,181,"1,1"
 15:16:08, 0x0009,177,"1,1"
 15:16:08, 0x0007,178,"1,1"
 15:16:08, 0x0006,177,"1,1"
 15:16:09, 0x000B,177,"1,1"
 15:16:09, 0x000C,177,"1,1"
 15:16:09, 0x0003,185,"1,1"
 15:16:09, 0x0002,193,"1,1"
 15:16:09, 0x0001,195,"1,1"
 15:16:09, 0x0004,184,"1,1"
 15:16:10, 0x0008,179,"1,1"
 15:16:10, 0x0007,179,"1,1"
 15:16:10, 0x0006,177,"1,1"
 15:16:11, 0x000B,177,"1,1"
 15:16:11, 0x000C,177,"1,1"
 15:16:11, 0x0003,184,"1,1"
 15:16:11, 0x0002,193,"1,1"
 15:16:11, 0x000A,177,"1,1"
 15:16:11, 0x0001,195,"1,1"
 15:16:12, 0x0004,183,"1,1"
 15:16:12, 0x0005,177,"1,1"
