Algorithm,Mean Error,Median Error,0.75 Quantile Error,Max Error,Std Dev Error
knn_k1,1.3960706201715918,0.0,0.0,18.973665961010283,3.416435608973309
knn_k15,2.787426960096019,2.154065922853801,4.47213595499958,17.08800749063506,2.8328853284046414
knn_k31,3.296385237921957,2.7913945358430885,4.873423862715162,15.350229723018078,2.7080698216106844
knn_k63,3.902021863955149,3.4627921833710182,5.323971374999499,15.061476440321455,2.4942465648691434
dwknn_k1,1.3960706201715918,0.0,8.881784197001252e-16,18.973665961010283,3.4164356089733086
dwknn_k15,2.253310975125751,1.1558619989886607,3.524047077798769,16.959001601093266,2.806263454902273
dwknn_k31,2.5717247423560208,1.6661117601130782,3.893212573116004,16.203460962220742,2.715892059702971
dwknn_k63,2.963554425031642,2.2679208985147605,4.301332217084157,16.186615054379512,2.5979507223306264
