timestamp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,label
2020-03-20T16:19:27+08:00,0,-89,-81,-87,0,-92,-91,0,0,0,0,0,0,0,1
2020-03-20T16:19:35+08:00,0,-82,-88,-80,0,-88,0,0,0,0,-97,0,0,0,1
2020-03-20T16:19:43+08:00,0,-82,-78,-88,0,-91,0,0,0,-100,0,0,0,0,1
2020-03-20T16:19:51+08:00,0,-89,-81,-87,0,-94,0,0,0,0,0,0,0,0,1
2020-03-20T16:19:59+08:00,0,0,-78,0,0,-90,-91,0,0,0,-96,0,0,0,1
2020-03-20T16:20:08+08:00,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,1
2020-03-20T16:20:16+08:00,0,0,0,0,0,-93,0,-92,-98,-96,0,-95,0,0,1
2020-03-20T16:20:24+08:00,0,0,0,0,0,0,-91,-93,0,-96,-97,0,0,0,1
2020-03-20T16:20:32+08:00,0,0,0,0,0,0,-97,-98,0,0,0,-99,0,0,1
2020-03-20T16:20:40+08:00,0,-91,0,0,0,0,0,-93,-97,-97,0,-96,0,0,1
2020-03-20T16:20:49+08:00,0,-82,0,0,0,0,-93,-93,0,-98,0,0,0,0,1
2020-03-20T16:20:57+08:00,0,-82,0,0,0,0,-96,0,0,-97,0,-98,0,0,1
2020-03-20T16:21:05+08:00,0,-82,0,0,0,0,-91,0,0,0,0,-99,0,0,1
2020-03-20T16:21:13+08:00,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,1
2020-03-20T16:21:21+08:00,0,0,0,0,-89,0,-100,0,0,-100,-96,0,0,0,1
2020-03-20T16:21:29+08:00,0,0,-81,0,-91,0,-97,0,0,0,0,-99,0,0,1
2020-03-20T16:21:38+08:00,0,0,-88,0,-88,0,0,0,0,0,0,-95,0,0,1
2020-03-20T16:21:46+08:00,-60,-82,-78,0,-91,0,0,0,-98,0,-98,0,0,0,1
2020-03-20T16:21:54+08:00,-65,-89,-81,0,-90,0,-93,0,0,0,0,0,0,0,1
2020-03-20T16:22:02+08:00,-68,-81,-88,0,-88,-90,-99,0,0,-97,0,0,0,0,1
2020-03-20T16:22:10+08:00,-60,-82,-77,0,0,-88,0,0,0,0,-94,0,0,0,1
2020-03-20T16:22:19+08:00,-65,0,-81,0,-92,-95,0,-95,0,-95,0,0,0,0,1
2020-03-20T16:29:28+08:00,-76,-91,-79,0,-93,-88,0,-98,-91,-94,0,-94,0,0,1
2020-03-20T16:56:17+08:00,-93,-99,-73,-98,-93,-86,-98,0,0,0,-101,0,0,0,2
2020-03-20T16:56:25+08:00,-96,0,-70,-94,0,0,0,0,0,0,0,0,0,0,2
2020-03-20T16:56:33+08:00,-83,0,-77,0,0,0,0,0,0,0,0,0,0,0,2
2020-03-20T16:56:42+08:00,-94,0,-73,0,0,0,-90,0,0,0,-90,0,0,0,2
2020-03-20T16:56:50+08:00,-89,-81,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-03-20T16:56:58+08:00,-81,-76,0,0,0,0,0,-91,-95,0,0,0,0,0,2
