index,data,label,vote_result,prediction
82,[65  0 82 89 89 94  0 95  0  0  0 99],[1],2,WRONG
83,[ 0 87  0 90  0  0  0 89  0  0 87  0],[3],3,CORRECT
84,[60 83  0 90 86  0  0  0  0  0  0  0],[1],1,CORRECT
85,[ 0  0  0 96 87 89 95  0  0  0  0  0],[3],5,WRONG
86,[ 0  0  0  0 72 85  0  0 88 93 89 94],[4],4,CORRECT
87,[ 0  0  0 69 85  0  0  0 87 93 90 93],[4],4,CORRECT
88,[  0   0  96  75  72  88   0  84  88 101  88   0],[4],4,CORRECT
89,[ 0 81  0  0 77 83  0 85 99  0  0 90],[5],5,CORRECT
90,[ 0 90  0 89 88  0  0 92  0  0  0  0],[1],1,CORRECT
91,[90  0 72  0  0 86 89  0 95  0 91  0],[2],3,WRONG
92,[ 0  0 72  0  0  0  0 89  0  0  0 89],[3],4,WRONG
93,[89  0 81  0 91 91 97 95  0  0 91 90],[3],2,WRONG
94,[ 0 94 83  0 69 93  0  0  0 93  0  0],[4],4,CORRECT
95,[ 0  0 79  0  0  0 99  0 93  0 89  0],[3],2,WRONG
96,[76 91 79  0 93 88  0 98 91 94  0 94],[1],1,CORRECT
97,[ 0 93 83 69 69 92 82 89 91  0  0  0],[4],4,CORRECT
98,[ 0  0  0 96 86 91  0  0 93  0  0 89],[3],3,CORRECT
99,[ 99  81  80  81   0  83   0   0 100   0   0  88],[5],2,WRONG
100,[ 98   0  80  81  77  83  80  85 101  91   0  91],[5],1,WRONG
101,[ 0  0  0  0 79  0  0  0  0 95  0 87],[5],4,WRONG
102,[ 0 90  0 98  0 92  0  0  0  0 89  0],[3],5,WRONG
103,[ 0 87  0 69 85 85  0  0  0 93 90 93],[4],2,WRONG
104,[ 0 82 88 80  0 88  0  0  0  0 97  0],[1],5,WRONG
105,[ 0 82  0  0  0  0 91  0  0  0  0 99],[1],1,CORRECT
106,[ 0  0  0 81 79 82 80  0 86  0 80  0],[5],3,WRONG
107,[  0  82  82  88   0  88   0   0   0 101  97  95],[1],1,CORRECT
108,[ 0 75  0 78 74 80 81  0  0 95  0  0],[5],4,WRONG
109,[ 0 87 83  0 85 88 88  0 87 94 90  0],[4],4,CORRECT
110,[ 0 90 96  0  0 88  0  0 88  0 89  0],[4],1,WRONG
111,[ 0  0  0 75 72  0 86  0  0  0  0 92],[4],5,WRONG
112,[88 78  0 92 85  0  0  0 95  0 95 92],[2],2,CORRECT
