index,data,vote_result,vote_prob,label,prediction
0,[ 0 88  0  0 72  0 89 89  0 89 90 93],5,"(5, 0.47058823529411764)",4,WRONG
1,[ 0  0 75 90  0  0 97  0 93  0  0 93],3,"(3, 0.5882352941176471)",2,WRONG
2,[ 0 77 87 81 75  0  0  0  0 95  0  0],4,"(4, 0.47058823529411764)",5,WRONG
3,[ 0 82 88 80  0 88  0  0  0  0 97  0],1,"(1, 0.4117647058823529)",1,CORRECT
4,[90  0  0 91 82  0  0  0 90  0  0  0],1,"(1, 0.35294117647058826)",2,WRONG
5,[ 0  0 79  0  0  0 99  0 93  0 89  0],3,"(3, 0.47058823529411764)",3,CORRECT
6,[ 0 89 72  0 89  0 89 88  0  0 87 88],3,"(3, 0.35294117647058826)",3,CORRECT
7,[ 0  0 81  0 91  0 97  0  0  0  0 99],1,"(1, 0.29411764705882354)",1,CORRECT
8,[87  0 87 81 79 82  0 84  0 94 92 88],5,"(5, 0.4117647058823529)",5,CORRECT
9,[ 0  0  0  0 74 80 78  0 86 95  0 81],4,"(4, 0.5294117647058824)",5,WRONG
10,[  0  82  82  88   0  88   0   0   0 101  97  95],5,"(5, 0.35294117647058826)",1,WRONG
11,[ 0 95  0 74 72  0 86  0  0 88  0  0],5,"(5, 0.4117647058823529)",4,WRONG
12,[84 90 72  0  0  0 94 88 93  0 90  0],2,"(2, 0.47058823529411764)",3,WRONG
13,[ 0  0  0 86 69 93  0  0 91 98  0 87],4,"(4, 0.4117647058823529)",4,CORRECT
14,[87 76 87 81 79 82 81  0 86 96 91 88],5,"(5, 0.29411764705882354)",5,CORRECT
15,[ 0 94 83  0 69 93  0  0  0 93  0  0],4,"(4, 0.29411764705882354)",4,CORRECT
16,[ 0  0  0  0  0 82 80 84  0  0 92  0],3,"(3, 0.47058823529411764)",5,WRONG
17,[85 91 72 94 92 88 90 86 96  0 84 86],4,"(4, 0.23529411764705882)",3,WRONG
18,[ 0  0  0 81 74  0 80  0 86 96  0  0],5,"(5, 0.4117647058823529)",5,CORRECT
19,[ 0  0  0  0  0  0 91 93  0 96 97  0],5,"(5, 0.4117647058823529)",1,WRONG
20,[ 0 94  0  0  0 91 95  0  0  0 89 90],4,"(4, 0.29411764705882354)",3,WRONG
21,[80 76  0  0  0 95 96  0  0  0  0 91],2,"(2, 0.6470588235294118)",2,CORRECT
22,[90 73  0  0  0 86  0  0  0  0 91  0],2,"(2, 0.35294117647058826)",2,CORRECT
23,[ 0  0  0  0 72 85  0  0 88 93 89 94],4,"(4, 0.47058823529411764)",4,CORRECT
24,[60  0 78  0 88 93  0  0  0  0  0 96],1,"(1, 0.4117647058823529)",1,CORRECT
25,[ 0 82  0 81  0  0  0 91  0  0 98  0],3,"(3, 0.35294117647058826)",1,WRONG
26,[89  0 79  0 84  0 99  0  0  0  0 89],1,"(1, 0.29411764705882354)",3,WRONG
27,[ 0  0  0  0 85 92 88  0 91 94  0 86],4,"(4, 0.47058823529411764)",4,CORRECT
28,[90  0  0  0  0  0  0 86 94  0 92 82],2,"(2, 0.5294117647058824)",2,CORRECT
29,[ 0 95  0 86 69 92  0  0  0 93  0 87],4,"(4, 0.5882352941176471)",4,CORRECT
30,[ 0  0 96  0 72  0 86 84 88  0  0  0],3,"(3, 0.35294117647058826)",4,WRONG
31,[ 0  0  0  0 74 80 81  0  0 95  0  0],4,"(4, 0.35294117647058826)",5,WRONG
32,[ 0 81  0  0 77  0 80 85  0  0  0 90],4,"(4, 0.47058823529411764)",5,WRONG
