Date, Time, Type, ID0, ID1, ID2, Sensor Data, Temperature, Humidity, Raw Data,RSSI,dBm,Label
13/3/20, 15:59:11, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677C0,192,-20.992,4
13/3/20, 15:59:12, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975BB,187,-23.362,4
13/3/20, 15:59:13, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74BB,187,-23.362,4
13/3/20, 15:59:13, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7776,34.1,52, 0201041AFF4C0002150005000100001000800000805F9B013100027776BA,186,-23.836,4
13/3/20, 15:59:14, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677C0,192,-20.992,4
13/3/20, 15:59:15, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975BA,186,-23.836,4
13/3/20, 15:59:16, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74BA,186,-23.836,4
13/3/20, 15:59:16, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100067B75B1,177,-28.102,4
13/3/20, 15:59:16, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74BD,189,-22.414,4
13/3/20, 15:59:16, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7776,34.1,52, 0201041AFF4C0002150005000100001000800000805F9B013100027776BB,187,-23.362,4
13/3/20, 15:59:17, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B9,185,-24.31,4
13/3/20, 15:59:18, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677B5,181,-26.206,4
13/3/20, 15:59:19, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B6,182,-25.732,4
13/3/20, 15:59:19, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74B8,184,-24.784,4
13/3/20, 15:59:19, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100067B75B9,185,-24.31,4
