Algorithm,Mean Error,Median Error,0.75 Quantile Error,Max Error
knn_k1,4.072627388595909,4.242640687119285,6.0827625302982185,19.723082923316017
knn_k15,3.9357610916381955,3.6823865225436005,4.833218389437828,14.484474446799927
knn_k31,3.8773691932645713,3.4146332397070753,5.153623337688134,15.348772181910697
knn_k63,3.9055340258059204,3.6013032025705907,5.073384316758567,14.370620697416827
dwknn_k1,4.072627388595909,4.242640687119285,6.0827625302982185,19.723082923316017
dwknn_k15,3.8958399781822846,3.5165149945009024,4.54400953302329,16.534489667973325
dwknn_k31,3.946224654537736,3.6068931491643497,5.121167532588978,16.24552696368868
dwknn_k63,3.9449792666200487,3.5984621268200048,5.073038917876028,15.549441282973028
