Date, Time, Type, ID0, ID1, ID2, Sensor Data, Temperature, Humidity, Raw Data,RSSI,Location
27/3/20, 11:58:21, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100047B75B1,177,"10,4"
27/3/20, 11:58:21, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7675,33.5,51, 0201041AFF4C0002150005000100001000800000805F9B013100087675B1,177,"10,4"
27/3/20, 11:58:21, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x7777,34.8,52, 0201041AFF4C0002150005000100001000800000805F9B0131000C7777BC,188,"10,4"
27/3/20, 11:58:21, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x956F,29.3,66, 0201041AFF4C0002150005000100001000800000805F9B01310003956FBF,191,"10,4"
27/3/20, 11:58:22, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7576,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7576B2,178,"10,4"
27/3/20, 11:58:22, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7576,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B013100097576B5,181,"10,4"
27/3/20, 11:58:22, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7177,34.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077177B1,177,"10,4"
27/3/20, 11:58:22, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100068674BC,188,"10,4"
27/3/20, 11:58:23, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8C74,32.8,62, 0201041AFF4C0002150005000100001000800000805F9B013100058C74B9,185,"10,4"
27/3/20, 11:58:23, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x906D,28,64, 0201041AFF4C0002150005000100001000800000805F9B01310001906DB1,177,"10,4"
27/3/20, 11:58:23, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8571,30.7,58, 0201041AFF4C0002150005000100001000800000805F9B013100028571B4,180,"10,4"
27/3/20, 11:58:23, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100047B75B1,177,"10,4"
27/3/20, 11:58:23, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7675,33.5,51, 0201041AFF4C0002150005000100001000800000805F9B013100087675B1,177,"10,4"
27/3/20, 11:58:23, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x7777,34.8,52, 0201041AFF4C0002150005000100001000800000805F9B0131000C7777BB,187,"10,4"
27/3/20, 11:58:23, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x956F,29.3,66, 0201041AFF4C0002150005000100001000800000805F9B01310003956FBF,191,"10,4"
27/3/20, 11:58:24, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7576,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7576B1,177,"10,4"
27/3/20, 11:58:24, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7177,34.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077177B1,177,"10,4"
27/3/20, 11:58:24, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7676,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B013100097676B6,182,"10,4"
27/3/20, 11:58:24, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100068674BC,188,"10,4"
27/3/20, 11:58:24, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x916D,28,64, 0201041AFF4C0002150005000100001000800000805F9B01310001916DB1,177,"10,4"
27/3/20, 11:58:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8571,30.7,58, 0201041AFF4C0002150005000100001000800000805F9B013100028571B5,181,"10,4"
27/3/20, 11:58:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100047B75B1,177,"10,4"
27/3/20, 11:58:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x6D77,34.8,47, 0201041AFF4C0002150005000100001000800000805F9B0131000A6D77B1,177,"10,4"
27/3/20, 11:58:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8C74,32.8,62, 0201041AFF4C0002150005000100001000800000805F9B013100058C74B5,181,"10,4"
27/3/20, 11:58:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B0131000C7677BA,186,"10,4"
27/3/20, 11:58:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7675,33.5,51, 0201041AFF4C0002150005000100001000800000805F9B013100087675B1,177,"10,4"
27/3/20, 11:58:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x956F,29.3,66, 0201041AFF4C0002150005000100001000800000805F9B01310003956FC1,193,"10,4"
27/3/20, 11:58:26, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7576,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7576B1,177,"10,4"
