index,data,pred_location,label,error
0,"[177.        179.5412371 177.0430464 181.5261845 188.        179.9442971
 189.2653509 192.3333333 188.5889145 181.204918  190.6894273 184.1956522]","(13.0, 3.0)","13,7",4.0
1,"[179.5366972 191.0541126 185.5274725 187.7090909 192.8294798 183.3042506
 178.9412998 177.7024129 179.6430108 177.0064103 180.0020619 181.1188341]","(5.0, 7.0)","7,7",2.0
2,"[177.        177.9974359 178.8566434 178.9141104 180.4969136 188.4444444
 177.0091743 179.3349633 195.1928251 177.4652015 183.1703057 188.5068493]","(9.0, 11.0)","13,13",4.47213595499958
3,"[193.2018141 189.4590164 183.5217391 182.9301746 177.5605536 177.
 177.3694581 177.7354839 177.        177.        177.        177.       ]","(3.0, 7.0)","1,1",6.324555320336759
