index,data,pred_location,label,error
0,"[177.        179.5412371 177.0430464 181.5261845 188.        179.9442971
 189.2653509 192.3333333 188.5889145 181.204918  190.6894273 184.1956522]","(12.254012010128147, 2.7153501069926658)","13,7",4.349105975563346
1,"[179.5452586 190.2984749 189.6666667 179.6077098 190.28739   194.7896996
 178.1345029 178.3975309 185.1594828 177.        179.6625514 182.579646 ]","(2.8301978267573222, 9.471309967631226)","7,13",5.4624997490634355
2,"[177.        177.9974359 178.8566434 178.9141104 180.4969136 188.4444444
 177.0091743 179.3349633 195.1928251 177.4652015 183.1703057 188.5068493]","(6.223849255095622, 9.09356944581048)","13,13",7.82153556486024
3,"[193.2018141 189.4590164 183.5217391 182.9301746 177.5605536 177.
 177.3694581 177.7354839 177.        177.        177.        177.       ]","(3.2462121346238484, 8.742346510308934)","1,1",8.061600240611313
