Algorithm,Mean Error,Median Error,0.75 Quantile Error,Max Error,Std Error
knn_k1,9.363961030678926,8.48528137423857,9.363961030678928,12.0,1.7573593128807152
knn_k2,6.708203932499369,6.708203932499369,6.708203932499369,6.708203932499369,0.0
knn_k3,7.323779517203475,7.404918347287664,8.48528137423857,8.48528137423857,1.3477158866718837
dwknn_k1,9.363961030678926,8.48528137423857,9.363961030678928,12.0,1.7573593128807152
dwknn_k2,8.05405205752449,6.817144893101833,8.073521524093808,11.839237779709075,2.523701457452036
dwknn_k3,8.608019487188782,8.188744810933864,9.228751451120756,11.762124180924065,2.2904318616188615
