Date,Time,Type,ID0,ID1,ID2,Sensor Data,Temperature,Humidity,Raw Data,RSSI,dBm,Label
13/3/20, 17:19:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8D6F,29.3,62, 0201041AFF4C0002150005000100001000800000805F9B013100068D6FB5,181,-26.206,A
13/3/20, 17:19:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0xA36D,28,73, 0201041AFF4C0002150005000100001000800000805F9B0131000BA36DB5,181,-26.206,A
13/3/20, 17:19:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8570,30,58, 0201041AFF4C0002150005000100001000800000805F9B013100038570B3,179,-27.154,A
13/3/20, 17:19:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8371,30.7,57, 0201041AFF4C0002150005000100001000800000805F9B013100018371B2,178,-27.628,A
13/3/20, 17:19:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x956D,28,66, 0201041AFF4C0002150005000100001000800000805F9B0131000A956DBC,188,-22.888,A
13/3/20, 17:19:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x8C6F,29.3,62, 0201041AFF4C0002150005000100001000800000805F9B013100048C6FB1,177,-28.102,A
13/3/20, 17:19:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x8B72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100088B72B2,178,-27.628,A
13/3/20, 17:19:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7B74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100027B74BF,191,-21.466,A
13/3/20, 17:19:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0xA36D,28,73, 0201041AFF4C0002150005000100001000800000805F9B0131000BA36DB4,180,-26.68,A
13/3/20, 17:19:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8570,30,58, 0201041AFF4C0002150005000100001000800000805F9B013100038570B5,181,-26.206,A
13/3/20, 17:19:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8A72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100058A72B2,178,-27.628,A
13/3/20, 17:19:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x956D,28,66, 0201041AFF4C0002150005000100001000800000805F9B0131000A956DB7,183,-25.258,A
13/3/20, 17:19:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8371,30.7,57, 0201041AFF4C0002150005000100001000800000805F9B013100018371B9,185,-24.31,A
13/3/20, 17:19:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x8174,32.8,56, 0201041AFF4C0002150005000100001000800000805F9B013100078174B1,177,-28.102,A
13/3/20, 17:19:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x8B6F,29.3,61, 0201041AFF4C0002150005000100001000800000805F9B013100048B6FB1,177,-28.102,A
13/3/20, 17:19:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8D6F,29.3,62, 0201041AFF4C0002150005000100001000800000805F9B013100068D6FB5,181,-26.206,A
13/3/20, 17:19:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x8B72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100088B72B1,177,-28.102,A
