Location, 0x0001, 0x0002, 0x0003, 0x0004, 0x0005, 0x0006, 0x0007, 0x0008, 0x0009, 0x000A, 0x000B, 0x000C
"1,1",193.2009132,189.4528302,183.5311778,182.9371859,177.5664336,177,177.3631841,177.7402597,177,177,177,177
"1,13",177,177.0318471,177.918429,189.4638404,178.3541667,178.4257703,192.5426009,183.5602094,180.2565321,180.5214592,187.3544018,179.302521
"1,19",0,177,177,181.2573529,178.1125828,177.0075949,188.4855234,178.8333333,178.8753463,193.2039604,189.4307692,188.3285372
"1,7",180.2261905,179.1229508,180.2915663,193.5610973,187.3562092,180.7564103,182.1006865,178.8715365,178.2581454,177,181.199095,178.0351759
"13,1",179.3990385,184.68523,190.6346604,177.9647696,178.1949153,180.3629893,178.097561,177,177.0038911,177,177.8977273,180.5114504
"13,13",177,177.9712794,178.8652482,178.921875,180.5172414,188.4342723,177.009324,179.3333333,195.1977273,177.462963,183.1441242,188.512761
"13,19",0,177.1255061,178.124031,177,177.0037175,179.3576642,177.6372315,179.2407862,183.9018568,179.8703704,189.3684211,197.4906977
"13,7",179.5789474,190.2985437,189.6494118,179.6347607,190.3246753,194.8085106,178.1096774,178.3940217,185.1404762,177,179.6545455,182.6004902
"7,1",180.6842105,193.4588235,191.4146919,177.4505495,183.7459283,184.5756824,177.3806452,180.1800487,178.7185185,177.0205479,179.7940503,184.716707
"7,13",177,179.5388601,177.0431894,181.5137845,187.9808307,179.944,189.2599119,192.3277512,188.5846868,181.204918,190.6858407,184.1868932
"7,19",177,177.0130435,177.2328767,177.9799499,178.115894,179.4639423,180.180778,190.0915663,184.4893112,180.7051546,193.7694013,193.4709977
"7,7",179.5544304,191.0746988,185.4507389,187.7318296,192.789644,183.3441397,179.0163934,177.6957831,179.7831325,177.0072727,180.0577367,181.1965174
